Account_No	Loan_ID	Started_year	Started_date	Current Loan Amount	Monthly Debt	Interest.Rate	Maximum Open Credit
ACC247087657	24732-238864	2019	04/01/2019	405944	5690.5		188298
ACC247111280	48399-263286	2019	9/22/2019	450956	16768.64		337040
ACC247177561	25907-242939	2020	01/07/2020	135345	11327.04		679954
ACC247177927	48032-261184	2019	10/03/2019	332838	13254.78		390610
ACC247184561	26204-243987	2019	7/22/2019	750860	36680.64		625284
ACC247186682	49114-267115	2020	04/01/2020	137720	7619.38		454146
ACC247186728	18149-188371	2019	04/03/2019	515746	24423.93		759022
ACC247202363	18702-254728	2019	2/15/2019	135345	16056.33		753148
ACC247215893	32143-134144	2020	03/04/2020	521818	28183.84		567204
ACC247233313	22548-222165	2019	8/13/2019	135718	15330.53		34760
ACC247241075	21760-215146	2020	3/18/2020	767536	53747.96		2510112
ACC247249853	18696-194288	2019	6/14/2019	135345	12852.74		784234
ACC247297302	47206-257264	2019	9/19/2019	90596	2766.4		259094
ACC247343039	18705-194297	2019	10/30/2019	358820	17431.74		217646
ACC24737262	22547-222164	2019	1/15/2019	202158	15195.82		285274
ACC24744974	19209-199624	2019	5/25/2019	376310	11681.01		148236
ACC247451130	18693-194285	2019	9/24/2019	261844	20502.52		181324
ACC247456774	18707-194299	2019	12/12/2019	585222	6903.08		1320858
ACC247465186	48400-263287	2019	09/10/2019	466906	41043.04		444774
ACC247494668	16884-176567	2020	2/14/2020	171930	8890.86		1028104
ACC24750170	47354-257845	2020	3/27/2020	101970	15181		72798
ACC247521227	18694-194286	2019	3/29/2019	198660	33198.13		866052
ACC247533196	20780-208185	2020	4/22/2020	135345	12540.19		986040
ACC247546038	15912-166846	2019	01/09/2019	352990	24166.67		745184
ACC247582455	27821-248845	2019	11/03/2019	135345	29964.33		428274
ACC247590399	17251-180565	2019	11/08/2019	482966	10670.97		344564
ACC247621756	26203-243985	2020	02/02/2020	757768	27672.93		1223068
ACC247622338	32272-134147	2019	2/26/2019	548790	59718.33		1214576
ACC247641489	18144-188372	2020	2/19/2020	144122	5762.89		277244
ACC247662649	48398-263288	2020	05/04/2020	392128	24269.84		766414
ACC24769129	18697-194289	2019	3/15/2019	164274	6319.4		109384
ACC247710249	18706-194298	2019	02/05/2019	292754	19277.02		758274
ACC247848123	18695-194287	2019	09/01/2019	224708	27330.93		217712
ACC247869135	27819-248847	2020	01/07/2020	778316	30032.16		1086998
ACC247953756	28344-250584	2019	11/20/2019	242000	12668.44		251812
ACC248000855	18708-194300	2020	3/16/2020	428626	3298.78		496606
ACC248056665	21761-215149	2019	5/25/2019	206822	11374.54		387794
ACC248068048	16881-176566	2020	1/30/2020	564982	28427.61		452474
ACC24810606	18703-194295	2020	1/14/2020	130152	2452.33		549318
ACC248120745	29159-252791	2019	06/06/2019	135345	13247.94		247786
ACC248137051	21758-215144	2019	11/28/2019	166430	8888.2		235114
ACC248159662	21757-215145	2020	05/10/2020	135345	22467.12		640398
ACC24819286	20779-208184	2020	4/20/2020	111276	2691.92		518540
ACC24820686	3779-145066	2019	11/29/2019	539990	54252.6		36696
ACC248218903	15292-159464	2019	11/06/2019	119042	11462.32		542960
ACC248280716	25692-242136	2020	01/03/2020	217668	8728.79		169818
ACC248284985	27758-248669	2019	1/24/2019	220418	10240.24		374484
ACC248301457	27404-247531	2020	1/23/2020	443124	9108.22		870738
ACC248312230	26855-245864	2019	5/29/2019	337656	18873.65		448008
ACC248334801	29161-252793	2019	9/20/2019	620796	107025.67		7194308
ACC248362579	18704-194296	2020	3/31/2020	335060	8111.67		382228
ACC248375628	15038-156345	2020	3/17/2020	52646	13649.6		285164
ACC248394220	18709-194301	2020	1/14/2020	186604	15382.59		671110
ACC248445732	48710-264364	2019	03/07/2019	135345	14665.91		97680
ACC24846329	21762-215148	2019	3/29/2019	431640	28685.44		464024
ACC248569445	25908-242938	2019	01/11/2019	109868	20297.7		393162
ACC248589385	25691-242137	2019	6/25/2019	219252	9893.68		271656
ACC2485930	48222-262309	2019	10/15/2019	145068	32668.79		724416
ACC248605679	50642-275045	2019	01/07/2019	273658	11955.75		261492
ACC248687269	23149-228271	2019	07/06/2019	135345	15877.92		220242
ACC24872629	23191-228548	2020	05/07/2020	778624	42620.42		1078264
ACC248729829	23193-228546	2019	1/25/2019	558580	23509.46		2232010
ACC248755021	23180-228545	2019	4/15/2019	369336	25576.09		202202
ACC248761654	24457-238129	2019	6/15/2019	152306	16277.68		588742
ACC248790417	23664-232349	2020	2/16/2020	329142	25288.24		1247994
ACC248804203	20874-208485	2020	1/25/2020	65494	12634.81		1446280
ACC248808596	29491-254065	2019	12/12/2019	285054	12741.02		548460
ACC248844338	22446-221249	2020	3/25/2020	155254	16856.99		317284
ACC248851622	23392-229965	2019	2/13/2019	317746	19520.6		330858
ACC248896396	25522-241268	2019	05/10/2019	266222	4425.86		659736
ACC248954202	23666-232345	2019	4/24/2019	771628	90623.73		826232
ACC248970109	18971-197487	2019	11/13/2019	547690	5904.63		109582
ACC248980078	19363-201204	2020	1/23/2020	135345	17880.14		376244
ACC24898297	19518-200666	2019	7/26/2019	787402	73459.32		691570
ACC248990398	19063-198205	2020	3/23/2020	55176	5231.65		143176
ACC248995482	22570-222670	2019	07/11/2019	372834	9910.97		655248
ACC249102772	24736-238828	2019	3/31/2019	88132	2266.32		247566
ACC249117789	21764-215225	2020	05/05/2020	285340	31622.65		797918
ACC249184168	20176-203905	2019	4/15/2019	239954	8430.87		488642
ACC249195809	19513-197406	2020	1/18/2020	197560	16379.9		81290
ACC249216719	19514-197404	2020	04/01/2020	197252	9264.21		166628
ACC249229048	27717-248629	2019	04/11/2019	363792	20198.52		263274
ACC249229704	22572-222668	2019	1/18/2019	330660	18641.47		359656
ACC249234493	25654-241824	2019	10/23/2019	177320	25397.3		587356
ACC249254173	21333-211367	2019	12/04/2019	236522	6103.75		400950
ACC249278559	29490-254064	2019	11/18/2019	434192	22217.84		394592
ACC24928784	21652-213925	2019	6/18/2019	541926	17934.48		652432
ACC249298151	18973-197486	2019	10/24/2019	66330	6110.97		179190
ACC24931841	24737-238830	2019	1/25/2019	109956	5431.72		167244
ACC249323778	21816-215552	2019	4/28/2019	135345	5229.75		455246
ACC249336640	23293-229025	2020	01/05/2020	292072	20774.03		720544
ACC249338325	21965-216488	2020	04/12/2020	183260	11525.78		280368
ACC249341054	21606-213485	2019	11/04/2019	130702	24152.99		795278
ACC249349963	22449-221247	2019	6/19/2019	541596	23653.29		567578
ACC249359228	23150-228269	2019	11/23/2019	77264	18596.25		236126
ACC249431765	23148-228268	2019	09/05/2019	337920	16388.45		612326
ACC249445520	24432-237928	2020	04/09/2020	572528	40958.87		1633808
ACC249461790	22445-221246	2020	2/14/2020	308440	24636.16		616726
ACC249516930	21743-215051	2020	1/13/2020	135345	16780.99		239800
ACC249520997	22456-221251	2019	12/12/2019	261734	18359.51		198506
ACC249596631	19524-202205	2019	11/06/2019	387838	28602.98		1032218
ACC249617051	21450-211905	2019	10/21/2019	135345	13319.76		639320
ACC249642921	22539-222210	2019	11/19/2019	135345	27399.33		977724
ACC24965446	24458-238127	2019	11/17/2019	217492	36469.55		776710
ACC249667086	18225-189165	2019	05/10/2019	265012	12525.18		112684
ACC249748579	20778-207865	2020	01/06/2020	520080	47723.25		1094874
ACC249761147	22452-221250	2019	10/23/2019	135345	8748.74		754160
ACC249806326	19034-197924	2019	3/26/2019	528462	35268.75		511698
ACC249809056	21329-210768	2019	6/20/2019	533390	14155.38		1079716
ACC249887336	18409-190784	2019	10/10/2019	64922	7195.68		217492
ACC249902063	23292-229027	2020	3/15/2020	545006	32842.64		772706
ACC249945295	26082-243524	2019	5/16/2019	668558	22128.35		886842
ACC250021314	20457-205766	2019	6/26/2019	265958	22849.02		567072
ACC250027792	24734-238829	2019	11/11/2019	652476	30386.13		2053370
ACC250052609	21967-216487	2019	7/24/2019	135345	24566.81		1884586
ACC250073157	26080-243526	2020	1/25/2020	134288	5778.47		781616
ACC250087901	24199-236567	2020	03/11/2020	248226	6359.11		141790
ACC250123954	25658-242046	2019	02/05/2019	399058	41403.85		989076
ACC250139958	23290-229028	2019	12/04/2019	231704	12095.4		854106
ACC250154374	19530-197407	2019	03/01/2019	347864	20943.51		341000
ACC250158244	18224-189164	2019	12/18/2019	323840	15653.72		196482
ACC250160014	24456-238128	2019	4/29/2019	89144	7430.14		282942
ACC250172090	26081-243527	2020	3/20/2020	135345	10059.74		547426
ACC250192707	21709-214285	2019	02/05/2019	376068	24759.47		1004740
ACC250203540	18649-193713	2020	04/05/2020	91124	11721.1		97658
ACC250206319	22935-226264	2019	7/23/2019	117876	5672.07		125730
ACC25022348	17857-186566	2019	1/24/2019	334950	12535.25		371052
ACC250259583	19618-200365	2019	8/22/2019	133958	15746.44		638088
ACC250278080	21105-209366	2020	1/21/2020	133738	22018.15		660198
ACC250292683	21818-215805	2019	07/08/2019	135345	2774.76		99594
ACC250391636	22934-226265	2019	10/22/2019	448976	43880.5		1397352
ACC250406004	22047-217305	2019	6/28/2019	305426	23532.83		319858
ACC250420177	21602-213484	2019	9/13/2019	758296	62461.36		1377838
ACC25043163	20477-206185	2019	8/21/2019	391160	21395.71		817850
ACC250455868	25677-236568	2019	07/05/2019	62304	8184.82		79134
ACC250469686	21819-215804	2019	04/06/2019	135345	25868.31		303226
ACC250473811	21828-215807	2020	3/21/2020	105468	16603.34		467258
ACC250484895	20455-205764	2020	3/23/2020	131538	10530.18		107404
ACC250493876	22444-221266	2019	11/13/2019	176792	17914.91		519156
ACC250513734	21335-210964	2019	11/12/2019	437514	28262.5		1844546
ACC250515058	23144-228270	2019	5/25/2019	135345	1778.78		0
ACC250562015	26083-243525	2019	04/10/2019	180356	17822.57		153208
ACC250586072	25647-242045	2019	5/16/2019	263230	12134.16		302676
ACC250609932	25269-240401	2020	3/17/2020	458854	16000.85		10203644
ACC250617541	23145-228267	2019	1/15/2019	236192	11274.79		588742
ACC250624675	27719-248626	2019	06/05/2019	303754	12032.89		632148
ACC250644359	25065-239844	2019	11/08/2019	135345	37867.76		2548392
ACC250666873	47934-260548	2019	01/06/2019	135345	32784.88		1721874
ACC250716697	29563-254254	2020	3/26/2020	438988	31791.18		338074
ACC250727361	18429-187745	2020	01/06/2020	476300	21515.6		389664
ACC250743780	18430-187744	2020	3/24/2020	257400	13740.99		274626
ACC250766756	29908-255885	2020	4/25/2020	170852	20640.46		460152
ACC250851175	26149-243750	2020	1/17/2020	195910	8126.3		357698
ACC250859542	29538-254255	2019	08/02/2019	111782	4727.01		0
ACC250890117	23550-231165	2019	09/02/2019	313698	6170.25		265760
ACC250927792	15919-166664	2020	05/04/2020	26708	11408.74		244794
ACC250969303	30683-99513	2020	03/10/2020	447040	20385.1		223454
ACC250981663	34330-97726	2019	06/03/2019	539066	26536.16		448030
ACC251014604	31926-109364	2019	03/03/2019	135345	32824.02		1675850
ACC251016699	34342-97960	2020	1/14/2020	44616	1290.48		129316
ACC251072333	31639-106258	2020	3/17/2020	412500	30297.59		642224
ACC251082920	32052-109244	2019	6/24/2019	645744	11382.9		882596
ACC251094838	32265-122091	2019	10/03/2019	135345	20531.97		3955710
ACC251108457	26977-245546	2020	02/11/2020	540980	12128.84		945626
ACC251119045	26291-235224	2020	3/27/2020	651420	30219.69		549164
ACC251122445	31568-111246	2019	2/25/2019	269258	15793.18		857956
ACC251127384	47076-251782	2019	2/26/2019	443520	3503.22		211508
ACC251139833	30540-94875	2019	6/17/2019	751982	39371.42		660616
ACC251166566	15352-156247	2019	04/12/2019	211860	26887.66		196944
ACC251186105	18018-180146	2019	01/02/2019	336314	40928.28		405746
ACC251203060	27144-154892	2019	7/21/2019	755370	35752.11		1644720
ACC251214989	32570-137757	2020	4/23/2020	175054	12850.27		387596
ACC251218224	47658-257606	2019	3/18/2019	135345	25933.67		190696
ACC25122362	26432-238099	2019	4/18/2019	211860	6342.2		336666
ACC251227016	48406-260026	2019	10/03/2019	222838	3576.18		89210
ACC251307	30409-78927	2020	1/21/2020	135345	23069.61		336380
ACC251316900	31014-105208	2020	02/05/2020	299244	45899.63		920590
ACC251330130	15933-165124	2019	12/11/2019	448756	13640.29		233904
ACC251337853	32429-135586	2019	04/01/2019	171710	6603.64		322124
ACC251362529	20310-204724	2020	02/08/2020	112376	22032.02		843348
ACC251369368	31586-111627	2019	04/01/2019	235422	17756.26		491656
ACC251391109	30481-88720	2019	12/06/2019	296450	17787.61		37026
ACC251414559	30448-76566	2019	09/10/2019	140316	6991.05		204864
ACC251432348	12466-154664	2019	02/09/2019	236082	12542.28		88924
ACC251440094	30316-68360	2020	03/10/2020	753368	51353.77		1344684
ACC25144322	18785-191885	2019	3/27/2019	132220	12272.1		630564
ACC251476696	30354-73983	2020	05/02/2020	32186	27440.37		231946
ACC251490239	25525-241266	2019	10/15/2019	262570	21070.62		199122
ACC251511457	1848-141686	2019	3/27/2019	755986	18926.09		546128
ACC251517260	30787-102682	2019	01/04/2019	135190	2846.2		127182
ACC251536005	31918-125766	2020	05/04/2020	269918	20623.55		249744
ACC251681309	30357-73982	2019	6/17/2019	305690	58741.16		2546874
ACC251682873	48405-255634	2020	05/06/2020	216370	19181.07		1845470
ACC251690768	26854-232865	2019	6/19/2019	776930	39308.53		763202
ACC2517238	32032-127566	2020	4/23/2020	175604	16378.19		193248
ACC251766289	23607-231684	2019	9/25/2019	260326	18342.6		182314
ACC251770290	22577-222645	2019	11/12/2019	334158	20489.98		792132
ACC251778474	30596-99416	2019	11/07/2019	397782	25078.29		781902
ACC251779165	47916-253772	2020	04/05/2020	149248	14232.9		553344
ACC251806204	26431-232866	2020	2/27/2020	91938	13945.43		249634
ACC251849460	19104-193045	2019	7/21/2019	135345	2889.9		556776
ACC251972634	2062-154212	2019	1/21/2019	135345	6398.25		309342
ACC252007112	22789-224964	2019	11/24/2019	537108	24291.88		555852
ACC25201624	17825-179764	2019	12/02/2019	757306	45445.53		2363526
ACC252032039	25338-240589	2019	03/12/2019	135345	2323.51		441892
ACC252048442	49286-267929	2020	3/18/2020	218834	20461.67		557436
ACC252049583	48563-263846	2019	10/26/2019	683650	29868		897842
ACC252100689	20218-204228	2019	9/18/2019	135345	6279.31		356686
ACC252104817	31278-107029	2019	02/08/2019	438548	20854.59		644028
ACC252126941	30381-78922	2019	05/01/2019	300718	6596.04		58322
ACC252259549	27389-247467	2019	8/14/2019	260788	14343.67		330484
ACC252322640	30494-93079	2019	2/13/2019	609708	35728.55		389884
ACC252349589	18778-195164	2020	4/16/2020	135345	27916.32		534930
ACC252405432	31561-111247	2019	08/02/2019	135345	17035.21		306526
ACC25240842	28481-247625	2020	05/04/2020	701954	37905.57		65802
ACC252415201	5066-146485	2019	1/29/2019	180290	48464.44		918852
ACC25243038	30327-66740	2020	4/13/2020	135345	19239.97		270094
ACC252470238	30418-81502	2019	03/08/2019	133540	4517.25		222706
ACC252482067	30157-31100	2019	8/23/2019	262988	12656.47		197098
ACC252510933	32691-137774	2019	09/04/2019	215842	24380.8		775368
ACC252530013	30361-75781	2019	1/19/2019	289146	11937.32		565532
ACC252533405	49062-266828	2019	3/29/2019	44132	4191.78		52976
ACC252574273	30370-76564	2019	8/14/2019	332948	22190.67		2013968
ACC252604163	30261-45361	2020	1/21/2020	43142	19242.82		500566
ACC252611199	32692-137044	2019	10/16/2019	394724	19286.33		509058
ACC252620639	32802-136924	2020	05/02/2020	185658	12280.65		998558
ACC252660114	30193-32682	2020	1/15/2020	393184	21267.27		351516
ACC252668135	26436-236764	2019	8/21/2019	107404	9831.55		237160
ACC252714420	18659-190085	2019	9/25/2019	118272	11848.78		196196
ACC25272315	30455-84907	2020	3/30/2020	189134	9079.34		178068
ACC25273253	23152-228246	2020	4/25/2020	90024	7759.22		222662
ACC252750029	1846-141328	2020	3/14/2020	479248	19610.28		161150
ACC252756280	30464-86760	2020	12/31/2019	109428	8420.42		516538
ACC252768086	30610-100068	2019	04/06/2019	157828	9264.4		371998
ACC252778183	32792-137351	2019	03/01/2019	475618	27903.02		1284888
ACC25281889	25902-231686	2020	2/26/2020	441628	18784.16		602756
ACC252840741	22159-218284	2020	03/10/2020	436700	23746.01		220242
ACC252844741	27390-247464	2019	3/18/2019	218240	9382.39		650804
ACC252923033	14878-154766	2019	11/11/2019	469898	3693.03		201278
ACC252987123	17066-172464	2019	02/04/2019	53262	8757.67		222002
ACC25299289	12970-154767	2019	1/26/2019	135345	22730.08		1973224
ACC252993338	31845-118605	2019	2/27/2019	456082	16543.49		1441462
ACC253002519	15436-161245	2020	02/10/2020	118976	10386.54		185966
ACC253040721	25374-232144	2019	04/03/2019	326282	5106.44		341462
ACC253041397	26438-242425	2019	08/11/2019	135345	48865.72		1226390
ACC253051402	30229-45339	2019	12/10/2019	284372	19811.11		397826
ACC253071694	24943-239409	2020	02/11/2020	567138	21717		356070
ACC253086508	17068-175388	2020	02/04/2020	161986	13713.82		341858
ACC253096860	15803-165125	2019	10/03/2019	305932	20423.86		853314
ACC25309796	19725-202045	2020	2/22/2020	98010	4888.32		790350
ACC253100476	29060-218568	2019	09/05/2019	345796	7694.24		1021592
ACC253123435	29255-253147	2019	7/17/2019	394020	14216.56		471438
ACC253173133	31575-111630	2020	3/13/2020	300520	17648.53		390830
ACC253197185	23745-233285	2019	04/12/2019	764764	34946.89		594704
ACC253240857	15343-157445	2020	3/14/2020	183238	17309.57		145926
ACC253256816	15342-157444	2019	5/13/2019	453926	16800.75		520850
ACC253285454	30581-225685	2019	02/08/2019	254716	2698.76		283756
ACC253316209	18093-182004	2019	11/09/2019	149644	1690.81		150854
ACC253328622	30629-102448	2019	5/13/2019	76692	12114.59		260766
ACC253351423	21916-216185	2019	6/24/2019	399718	7633.06		606364
ACC253357123	26569-244573	2019	07/10/2019	531498	16325.56		3093970
ACC253372517	1831-138378	2020	01/05/2020	387574	35331.07		491040
ACC253401859	30472-84906	2019	9/19/2019	135345	7330.39		376486
ACC253411604	20311-204727	2019	04/12/2019	433092	38237.12		623810
ACC253461460	32405-240591	2020	2/29/2020	259886	31963.13		1241350
ACC253526098	19532-194625	2020	3/23/2020	262328	10450.19		286286
ACC253534779	1607-137549	2020	2/21/2020	135345	3702.72		235994
ACC253534850	30255-18580	2019	6/14/2019	166056	16414.29		216414
ACC253536804	1861-143108	2019	01/04/2019	259380	22525.45		101552
ACC253547452	32635-136925	2019	8/15/2019	268136	28304.3		442288
ACC253557806	32402-137530	2019	11/02/2019	198858	22024.99		481514
ACC253565802	31023-105212	2019	10/25/2019	541376	22836.29		867702
ACC253602891	30584-98056	2019	1/29/2019	311498	21509.71		859056
ACC253625286	1838-139192	2019	9/18/2019	770462	62198.97		1376628
ACC253654870	19027-193566	2019	6/21/2019	79244	3288.9		154000
ACC253716270	32618-137547	2020	05/02/2020	229768	10723.03		400180
ACC253729820	1605-137760	2020	2/17/2020	332574	14105.98		534116
ACC253748644	32524-137762	2020	1/18/2020	648846	11353.26		302676
ACC253761756	1881-144364	2019	12/11/2019	187682	13873.23		569976
ACC253787190	28494-245013	2020	02/11/2020	550220	18754.14		693462
ACC253801204	31081-105578	2019	8/27/2019	758142	35041.32		859716
ACC253803056	48129-261607	2019	9/16/2019	55044	14376.92		310992
ACC253815582	31677-117276	2019	5/17/2019	315084	25146.69		297264
ACC253817078	3854-153286	2019	5/14/2019	399520	24830.34		614526
ACC253820653	30946-103716	2020	4/24/2020	257554	13902.3		367290
ACC253825067	30471-86763	2019	7/19/2019	315942	17688.62		391974
ACC25383281	1826-137045	2019	4/26/2019	122034	8278.3		64108
ACC253850732	30496-165126	2020	4/18/2020	135345	44898.52		701558
ACC253865678	30452-83444	2020	3/27/2020	550880	21066.63		163042
ACC253879289	31846-123365	2019	10/01/2019	111584	7275.86		368170
ACC253921582	24369-237767	2020	2/15/2020	53988	20960.42		65230
ACC253924652	30489-87903	2019	5/28/2019	124740	14392.88		873312
ACC25393080	30213-41099	2020	04/09/2020	603504	29317.57		2728638
ACC25394110	30499-93320	2019	08/05/2019	221980	12239.61		144716
ACC253986535	21203-209866	2019	12/09/2019	267410	22356.54		479028
ACC253989079	19990-203224	2019	5/24/2019	135345	9166.74		465432
ACC254018569	30561-95838	2019	10/20/2019	312136	33682.63		1000670
ACC254068517	30200-36099	2019	07/03/2019	161876	11831.87		2357652
ACC254111356	1832-138646	2019	2/28/2019	185438	5066.54		222486
ACC254140924	23116-225664	2019	2/17/2019	179014	31478.25		119658
ACC254166625	1393-141129	2019	9/15/2019	323268	27395.15		608982
ACC254180325	15784-159164	2019	10/09/2019	135345	29882.63		222706
ACC254193865	31573-111625	2020	01/05/2020	247720	4230.35		1078132
ACC254195858	48372-261609	2019	07/12/2019	284680	8103.5		996072
ACC254268729	30516-93409	2019	04/07/2019	335346	23156.44		223498
ACC254283770	32393-137527	2020	03/08/2020	40304	17269.1		367246
ACC254337983	31336-107737	2019	03/11/2019	381678	20165.08		336820
ACC254348512	30247-48139	2019	5/30/2019	309188	10908.47		251130
ACC254370200	13019-155772	2020	3/30/2020	195492	36438.77		341154
ACC254376527	23190-228550	2020	02/03/2020	421256	6474.82		853886
ACC254432635	30589-95542	2019	4/25/2019	178706	23850.51		332882
ACC254471258	17309-180744	2020	02/12/2020	756140	37004.97		1426832
ACC254517038	48464-263455	2019	05/01/2019	121836	9621.03		350064
ACC254528118	30466-84829	2019	10/16/2019	204754	5733.25		304106
ACC254564119	26258-230445	2019	5/21/2019	322476	42802.63		1911492
ACC254578556	9148-151044	2019	07/03/2019	188100	19217.74		219164
ACC254625474	30210-48119	2020	3/20/2020	612920	29963		1368048
ACC254626136	32058-131150	2019	3/26/2019	143792	8407.88		92906
ACC254699048	5139-147945	2019	11/13/2019	89606	12011.61		322652
ACC254760819	31310-107471	2020	3/25/2020	119482	12111.17		214148
ACC254776307	31607-111634	2019	10/16/2019	66814	4250.3		0
ACC254813168	7114-148412	2019	04/09/2019	254430	8531.19		174680
ACC25485264	30482-88503	2019	8/20/2019	265606	9110.31		654896
ACC254856248	32146-133165	2020	01/09/2020	146982	10865.91		216744
ACC254868287	32082-132227	2020	2/28/2020	77110	12059.3		77110
ACC254915297	19102-191886	2019	07/05/2019	728508	35764.27		1685376
ACC254924894	32081-132228	2019	6/27/2019	768460	36620.41		293700
ACC254959874	30283-18619	2020	4/22/2020	517286	31353.61		1059080
ACC254960389	30522-93076	2020	1/17/2020	182094	29113.7		392524
ACC254979763	1367-138159	2019	7/31/2019	134838	9419.44		166320
ACC254987407	30168-26047	2019	7/31/2019	260612	23774.32		1530342
ACC255008520	30463-86762	2020	04/01/2020	692054	26733		1087790
ACC255008597	31416-108699	2020	4/21/2020	435600	24453		348612
ACC255018954	30531-94657	2019	01/08/2019	176990	3532.48		587158
ACC255084702	32736-133909	2019	2/22/2019	314006	59080.12		1985544
ACC255086088	32732-133907	2019	2/20/2019	187176	41677.83		343288
ACC255129117	32200-133904	2019	05/10/2019	215380	17527.88		512534
ACC255133642	32733-133908	2019	4/18/2019	446512	4712.19		204094
ACC255179514	32734-133906	2019	10/17/2019	333432	7071.04		424864
ACC255180979	15154-156686	2019	4/23/2019	614944	46945.01		1846130
ACC255188973	15227-158966	2020	04/08/2020	348282	10464.82		698368
ACC255213339	31042-105210	2019	1/28/2019	208890	13571.89		147158
ACC255213575	30289-63508	2019	2/19/2019	218482	32077.13		1149192
ACC25522596	30603-99933	2019	11/26/2019	398332	16696.25		979352
ACC255232236	32059-131149	2019	4/26/2019	232716	4484.38		280940
ACC255268917	31132-105828	2020	02/05/2020	135345	6232.19		136444
ACC255269857	30187-28855	2020	4/17/2020	215468	13299.05		187594
ACC255274882	30541-94656	2019	4/19/2019	180268	22081.99		1211936
ACC255323874	30241-50079	2019	11/22/2019	267520	26581.57		800866
ACC255329152	26259-236185	2019	09/10/2019	532686	22220.69		225720
ACC255362016	30372-78186	2019	9/17/2019	66308	1567.88		219076
ACC255363225	32629-138158	2019	11/08/2019	350350	21421.17		1136542
ACC255386498	31021-105209	2020	2/20/2020	173734	61734.99		312444
ACC255393198	32013-127584	2019	11/27/2019	273966	21529.85		371602
ACC255401588	30573-95338	2019	6/20/2019	241648	9162.94		251548
ACC25540831	30342-70201	2019	3/29/2019	458128	20912.92		672342
ACC255453903	30214-44101	2019	2/28/2019	304678	24634.45		187066
ACC255469356	26441-242424	2020	3/16/2020	292578	8048.21		220550
ACC25547222	47702-259486	2020	02/07/2020	135345	37687.64		798314
ACC25548581	27928-246965	2020	3/16/2020	262548	14398.39		623018
ACC255497643	30701-100744	2019	7/23/2019	222728	15681.84		310464
ACC255519266	27507-247908	2019	07/04/2019	268356	17961.65		212630
ACC255580237	30566-96814	2020	3/24/2020	722018	38599.26		246092
ACC255599529	48226-261610	2019	06/04/2019	135345	31127.7		917796
ACC255601783	19717-199787	2019	3/27/2019	272228	7840.54		296252
ACC255644063	30275-60299	2019	1/25/2019	160424	9493.16		244310
ACC255688055	8096-179344	2019	8/21/2019	556160	39629.63		946880
ACC255713804	31080-105576	2019	10/15/2019	483978	17812.5		440880
ACC25573750	30509-93693	2019	7/25/2019	98956	12819.87		83534
ACC255740887	32407-137344	2019	3/21/2019	135345	15766.58		352990
ACC255754407	30597-99413	2019	08/09/2019	214544	9727.62		302676
ACC255762264	21127-209311	2019	4/18/2019	216216	23724.35		765072
ACC255790408	1865-143384	2019	03/06/2019	616990	14053.92		579238
ACC25584010	30393-80323	2019	3/27/2019	250382	17218.75		290664
ACC255866123	30188-28995	2019	4/19/2019	152900	17409.13		2283424
ACC255875872	30858-102807	2019	03/12/2019	213532	4603.89		315722
ACC255888472	32730-139748	2020	04/07/2020	675444	41573.14		630410
ACC255910309	21126-209312	2019	11/17/2019	257884	9632.43		891396
ACC255911268	30462-86123	2020	1/26/2020	289256	18191.74		489412
ACC255916112	7068-150269	2020	02/07/2020	306064	19633.08		671220
ACC255941170	24050-221166	2020	05/05/2020	135345	22305.43		516208
ACC25595171	17060-173065	2019	4/18/2019	135345	29574.64		514668
ACC255963095	1854-142950	2019	06/07/2019	531168	24426.02		998778
ACC256118000	30228-34259	2020	02/10/2020	135345	39275.47		849926
ACC256123391	26867-245931	2019	6/24/2019	205480	12355.51		257994
ACC25612801	30027-11541	2020	01/06/2020	349822	27845.07		1131438
ACC256139893	30249-49439	2020	4/23/2020	303710	11709.51		362164
ACC256144919	17059-167984	2020	03/01/2020	224378	6548.16		652696
ACC256239612	26261-236164	2020	03/04/2020	104720	58552.49		650254
ACC256250150	30048-11601	2020	1/14/2020	135345	26968.79		546590
ACC256252019	30457-86125	2019	04/03/2019	112398	23693.57		56232
ACC256264672	18219-188764	2019	7/31/2019	401104	22837.62		441496
ACC256273485	16806-170765	2019	10/21/2019	323972	8992.89		265826
ACC256306216	30298-240831	2019	11/03/2019	88550	26649.4		1419440
ACC256312692	26437-241031	2019	11/14/2019	193930	14090.21		378224
ACC256317713	8170-105203	2019	5/23/2019	329252	35651.6		783618
ACC256356837	1840-139885	2019	04/02/2019	85140	9564.22		37598
ACC25639177	30151-26829	2019	5/17/2019	135345	58179.14		1551528
ACC256407641	31054-105572	2020	04/03/2020	664356	13984		986898
ACC256423373	28153-249617	2019	11/22/2019	608608	28087.7		2572086
ACC256510610	21448-211564	2019	3/30/2019	234938	9669.29		418198
ACC25654030	30551-93315	2019	01/04/2019	178420	8265.95		598554
ACC256559894	30149-26727	2019	8/28/2019	300784	14531.01		200992
ACC256594969	28780-251164	2019	6/19/2019	135345	4522		256740
ACC256603164	31817-119924	2020	2/24/2020	419760	13427.87		1040292
ACC256652876	16807-164411	2019	03/06/2019	135345	16370.78		279664
ACC256653933	23153-228244	2019	9/15/2019	198858	12021.49		492976
ACC25666334	32771-139046	2019	01/10/2019	237842	4639.61		301400
